Team,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Providence,0.316,0.336,0.516,49.5,53.3,8.3,7.7,0.483,14.8,29.1,0.221
Purdue,0.322,0.375,0.545,54.5,56,7.7,11.2,0.514,16.1,32.2,0.229
Quinnipiac,0.354,0.415,0.505,47.6,55.2,7.6,11.2,0.469,17.6,21.2,0.243
Radford,0.396,0.358,0.546,55.9,46.7,9.2,5.3,0.513,19.4,34.5,0.27
Rhode Island,0.389,0.319,0.525,52.3,47.7,9.1,12.2,0.492,17.2,29.7,0.26
Rice,0.264,0.482,0.554,51.3,58,7.5,5.2,0.527,18.5,26.9,0.193
Richmond,0.303,0.364,0.567,46.4,53,12.6,5.8,0.538,13.8,19.8,0.221
Rider,0.29,0.312,0.518,49.4,50.4,7.4,6,0.483,16.3,26.2,0.212
Robert Morris,0.256,0.337,0.524,47.5,57.7,9.2,8.1,0.504,16.2,29.5,0.168
Rutgers,0.277,0.327,0.521,49.2,51.6,11.3,14.1,0.502,14.4,27.4,0.175
Sacramento State,0.315,0.313,0.542,48.9,48,10.2,6.4,0.516,13.2,27.3,0.214
Sacred Heart,0.336,0.415,0.522,48.9,55.9,7,5.1,0.48,16.1,29.5,0.249
Saint Francis (PA),0.336,0.329,0.516,49.8,52.1,8.2,5.9,0.478,17.5,28.8,0.24
Saint Joseph's,0.267,0.492,0.517,44.9,56.7,8,4.5,0.486,16.8,21.5,0.194
Saint Louis,0.305,0.309,0.546,56.8,63.1,10.3,9.7,0.518,14.9,36.1,0.214
Saint Mary's (CA),0.277,0.377,0.51,52,44.8,9.4,8,0.476,15.2,26,0.202
Saint Peter's,0.327,0.344,0.493,51.3,52.8,11.8,16,0.456,18.8,30.4,0.228
Sam Houston State,0.312,0.407,0.552,49.7,54.6,11.3,8.7,0.526,16.6,30.5,0.216
Samford,0.272,0.397,0.531,52.4,52.3,8.9,8.1,0.506,18.3,30.4,0.186
SDSU,0.345,0.4,0.562,53,53.8,12.3,10,0.529,14.6,29,0.249
San Diego,0.256,0.319,0.488,46.2,52.6,9.2,8.5,0.464,16.3,20.9,0.166
San Francisco,0.215,0.502,0.535,48.7,45.6,10.3,8.4,0.513,14.9,24.9,0.154
San Jose State,0.29,0.393,0.483,43.4,43.2,6.5,6.7,0.455,15.6,20.6,0.189
Santa Clara,0.406,0.32,0.521,50.2,49.4,6.1,10.1,0.483,16.3,23.2,0.277
Seattle,0.292,0.416,0.516,47.2,44.5,9.3,9.9,0.481,13.2,27.2,0.214
Seton Hall,0.357,0.368,0.539,50.1,51.6,9.2,11.4,0.5,16.4,29.7,0.261
Siena,0.372,0.351,0.546,51.7,52.3,8.4,8.4,0.52,17.2,28,0.245
South Alabama,0.334,0.436,0.552,48.4,43.9,10.3,11,0.52,15.1,27.2,0.24
South Carolina State,0.276,0.376,0.472,44.6,44.4,8.1,7.6,0.448,21.1,25.8,0.171
South Carolina Upstate,0.293,0.4,0.524,46.5,51.3,9,7.1,0.491,18.4,23.7,0.211
South Carolina,0.279,0.342,0.493,48.7,49.5,11.1,10,0.467,16.8,31.7,0.183
